weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
lean,slow,fast,cold,mild,moderate hunger,dry,oily thick,dark up red bottom,uneven,bright,never forgets,focused,slowly but steadily,sound,pale,soft red,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,always hunger,cool,dry brittle,dark dry,uneven,bright,never forgets,focused,slowly but steadily,sound,redish,pale,kapha
difficult to lose,fast,slow,warm,mild,always hunger,dry,oily thick,dark dry,perfect,red,never forgets,peacefull,promptly and decisively,sound,dark,pale,kapha
lean,fast,slow,all,excessive with strong odor,always hunger,cool,straight soft,dark dry,uneven,dark,never forgets,quick,promptly and decisively,deep,pale,soft red,kapha
lean,fast,fast,all,excessive,moderate hunger,cool,straight soft,red,large,red,never forgets,peaceful,slowly but steadily,light,pale,soft red,kapha
difficult to lose,slow,slow,warm,excessive with strong odor,always hunger,cool,straight soft,red,uneven,red,forgets quickly,quick,slowly but steadily,deep,pale,soft red,kapha
lean,moderate,slow,warm,excessive with strong odor,irregular appetite,dry,oily thick,red,uneven,red,never forgets,quick,promptly and decisively,deep,pale,pale,kapha
difficult to lose,moderate,moderate,cold,excessive with strong odor,moderate hunger,cool,oily thick,dark dry,large,dark,never forgets,quick,promptly and decisively,sound,pale,soft red,kapha
average,moderate,slow,all,excessive with strong odor,always hunger,dry,straight soft,red,large,red,forgets quickly,focused,quickly but inconsistently,deep,pale,pale,kapha
lean,moderate,slow,warm,excessive,moderate hunger,cool,straight soft,dark dry,large,dark,never forgets,quick,promptly and decisively,deep,pale,pale,kapha
lean,moderate,moderate,all,mild,irregular appetite,cool,oily thick,dark up red bottom,perfect,bright,average,focused,slowly but steadily,sound,dark,pale,kapha
lean,slow,fast,all,mild,moderate hunger,oily,oily thick,dark up red bottom,large,bright,never forgets,quick,slowly but steadily,deep,pale,pale,kapha
difficult to lose,slow,moderate,all,excessive with strong odor,moderate hunger,oily,oily thick,red,uneven,bright,average,focused,slowly but steadily,light,pale,soft red,kapha
average,fast,slow,all,excessive with strong odor,irregular appetite,cool,straight soft,dark dry,large,red,forgets quickly,peacefull,promptly and decisively,deep,pale,soft red,kapha
average,fast,moderate,all,excessive with strong odor,moderate hunger,dry,straight soft,red,large,bright,average,quick,promptly and decisively,deep,redish,pale,kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,cool,oily thick,dark up red bottom,large,bright,never forgets,focused,promptly and decisively,deep,dark,dull,kapha
difficult to lose,fast,slow,warm,excessive with strong odor,irregular appetite,oily,straight soft,dark up red bottom,large,dark,never forgets,focused,slowly but steadily,deep,pale,dull,kapha
average,slow,slow,warm,excessive with strong odor,always hunger,cool,oily thick,dark dry,large,bright,never forgets,focused,promptly and decisively,deep,dark,pale,kapha
difficult to lose,slow,slow,warm,excessive,always hunger,cool,dry brittle,dark dry,large,bright,never forgets,peacefull,promptly and decisively,deep,dark,soft red,kapha
lean,moderate,slow,cold,excessive with strong odor,always hunger,oily,oily thick,red,perfect,bright,forgets quickly,peacefull,quickly but inconsistently,sound,pale,soft red,kapha
lean,moderate,slow,warm,excessive with strong odor,always hunger,dry,dry brittle,red,perfect,red,never forgets,peacefull,slowly but steadily,sound,dark,pale,kapha
difficult to lose,slow,fast,all,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,large,red,never forgets,focused,slowly but steadily,deep,pale,dull,kapha
difficult to lose,slow,moderate,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark dry,uneven,bright,average,quick,promptly and decisively,deep,redish,pale,kapha
average,slow,slow,all,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,large,bright,average,peacefull,slowly but steadily,sound,redish,pale,kapha
average,fast,slow,cold,excessive,always hunger,cool,dry brittle,red,uneven,bright,never forgets,focused,slowly but steadily,deep,pale,pale,kapha
lean,slow,fast,warm,mild,moderate hunger,oily,oily thick,dark up red bottom,perfect,dark,never forgets,peacefull,quickly but inconsistently,deep,redish,pale,kapha
lean,moderate,fast,all,excessive with strong odor,moderate hunger,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,peacefull,slowly but steadily,sound,redish,pale,kapha
lean,slow,slow,all,excessive with strong odor,moderate hunger,cool,oily thick,red,large,red,forgets quickly,focused,slowly but steadily,deep,redish,pale,kapha
difficult to lose,slow,moderate,all,mild,moderate hunger,cool,dry brittle,red,perfect,red,forgets quickly,focused,slowly but steadily,light,redish,dull,kapha
lean,moderate,slow,cold,mild,irregular appetite,cool,dry brittle,dark up red bottom,perfect,bright,average,peacefull,slowly but steadily,deep,pale,dull,kapha
average,slow,slow,all,excessive,moderate hunger,cool,straight soft,dark dry,large,bright,never forgets,peaceful,quickly but inconsistently,sound,pale,dull,kapha
average,moderate,fast,all,excessive with strong odor,irregular appetite,cool,dry brittle,red,perfect,bright,never forgets,focused,promptly and decisively,sound,pale,pale,kapha
difficult to lose,slow,moderate,all,excessive with strong odor,always hunger,dry,oily thick,red,large,bright,never forgets,quick,promptly and decisively,sound,redish,dull,kapha
difficult to lose,moderate,fast,warm,excessive with strong odor,moderate hunger,oily,oily thick,red,perfect,dark,never forgets,quick,promptly and decisively,light,pale,pale,kapha
lean,slow,fast,all,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,uneven,red,never forgets,peaceful,slowly but steadily,light,dark,pale,kapha
average,slow,slow,all,excessive with strong odor,moderate hunger,cool,oily thick,dark dry,large,red,forgets quickly,peacefull,promptly and decisively,light,pale,dull,kapha
average,slow,fast,all,mild,moderate hunger,dry,dry brittle,dark up red bottom,perfect,red,forgets quickly,focused,slowly but steadily,sound,pale,pale,kapha
lean,fast,fast,all,excessive with strong odor,moderate hunger,cool,straight soft,red,perfect,bright,average,peaceful,quickly but inconsistently,sound,pale,soft red,kapha
average,moderate,slow,all,excessive with strong odor,irregular appetite,cool,straight soft,dark dry,uneven,bright,forgets quickly,peacefull,slowly but steadily,sound,dark,soft red,kapha
difficult to lose,slow,slow,warm,excessive with strong odor,always hunger,cool,oily thick,red,uneven,red,never forgets,focused,quickly but inconsistently,sound,pale,soft red,kapha
difficult to lose,fast,slow,warm,mild,always hunger,oily,dry brittle,dark up red bottom,large,bright,never forgets,peacefull,slowly but steadily,deep,dark,pale,kapha
lean,fast,moderate,all,excessive,irregular appetite,cool,oily thick,red,perfect,dark,never forgets,quick,slowly but steadily,deep,pale,pale,kapha
lean,slow,slow,cold,mild,always hunger,cool,straight soft,dark up red bottom,large,bright,never forgets,peacefull,quickly but inconsistently,deep,pale,dull,kapha
average,slow,fast,warm,mild,always hunger,cool,dry brittle,red,perfect,red,never forgets,quick,slowly but steadily,light,pale,soft red,kapha
average,fast,slow,warm,excessive with strong odor,moderate hunger,cool,straight soft,dark dry,large,dark,average,peacefull,slowly but steadily,deep,pale,soft red,kapha
lean,fast,slow,cold,excessive with strong odor,irregular appetite,cool,straight soft,dark up red bottom,large,red,forgets quickly,peacefull,slowly but steadily,deep,pale,soft red,kapha
average,slow,fast,all,excessive with strong odor,irregular appetite,dry,oily thick,dark up red bottom,perfect,bright,average,peaceful,quickly but inconsistently,deep,redish,pale,kapha
lean,fast,slow,all,excessive with strong odor,irregular appetite,oily,oily thick,red,perfect,red,average,focused,slowly but steadily,deep,dark,dull,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,moderate hunger,oily,oily thick,red,perfect,dark,never forgets,quick,slowly but steadily,deep,redish,dull,kapha
difficult to lose,fast,slow,all,mild,irregular appetite,dry,straight soft,red,perfect,bright,average,peacefull,promptly and decisively,light,pale,pale,kapha
difficult to lose,fast,slow,warm,excessive,irregular appetite,cool,oily thick,red,large,bright,forgets quickly,peacefull,quickly but inconsistently,deep,dark,pale,kapha
difficult to lose,slow,moderate,warm,excessive,moderate hunger,cool,oily thick,red,large,bright,forgets quickly,peacefull,promptly and decisively,sound,pale,soft red,kapha
difficult to lose,slow,fast,cold,mild,moderate hunger,dry,oily thick,dark dry,perfect,red,never forgets,focused,slowly but steadily,light,redish,pale,kapha
lean,slow,slow,warm,excessive with strong odor,moderate hunger,cool,oily thick,red,uneven,red,average,quick,slowly but steadily,sound,redish,soft red,kapha
difficult to lose,fast,slow,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,perfect,bright,forgets quickly,peacefull,quickly but inconsistently,light,dark,pale,kapha
difficult to lose,slow,slow,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,perfect,bright,never forgets,quick,promptly and decisively,sound,redish,soft red,kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,cool,oily thick,dark dry,uneven,red,never forgets,peacefull,slowly but steadily,sound,pale,pale,kapha
difficult to lose,slow,slow,warm,excessive with strong odor,always hunger,dry,straight soft,red,uneven,red,forgets quickly,focused,quickly but inconsistently,deep,pale,dull,kapha
average,slow,moderate,cold,mild,irregular appetite,cool,oily thick,dark dry,perfect,bright,forgets quickly,quick,slowly but steadily,sound,pale,dull,kapha
lean,slow,slow,all,mild,always hunger,cool,oily thick,red,perfect,dark,never forgets,peacefull,slowly but steadily,deep,redish,soft red,kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,cool,straight soft,red,perfect,dark,average,peacefull,promptly and decisively,deep,redish,dull,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,irregular appetite,dry,dry brittle,red,perfect,bright,average,focused,promptly and decisively,sound,redish,pale,kapha
difficult to lose,slow,moderate,cold,excessive with strong odor,irregular appetite,cool,oily thick,red,uneven,dark,never forgets,focused,quickly but inconsistently,sound,redish,dull,kapha
average,slow,slow,warm,mild,always hunger,cool,oily thick,dark dry,uneven,red,never forgets,quick,slowly but steadily,light,pale,dull,kapha
difficult to lose,slow,slow,all,excessive,always hunger,oily,straight soft,dark dry,uneven,bright,never forgets,quick,slowly but steadily,light,pale,pale,kapha
lean,fast,moderate,all,excessive,moderate hunger,dry,oily thick,red,uneven,bright,forgets quickly,peacefull,slowly but steadily,light,dark,pale,kapha
difficult to lose,slow,fast,cold,mild,always hunger,cool,dry brittle,red,perfect,dark,forgets quickly,quick,promptly and decisively,sound,pale,pale,kapha
average,moderate,slow,warm,mild,always hunger,dry,oily thick,red,perfect,bright,forgets quickly,focused,slowly but steadily,sound,dark,pale,kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,oily,straight soft,dark dry,perfect,bright,average,peacefull,quickly but inconsistently,deep,pale,pale,kapha
difficult to lose,fast,fast,all,excessive with strong odor,always hunger,cool,oily thick,dark up red bottom,perfect,bright,never forgets,peacefull,promptly and decisively,light,dark,dull,kapha
average,slow,moderate,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,perfect,bright,never forgets,peacefull,promptly and decisively,deep,redish,dull,kapha
difficult to lose,fast,slow,cold,excessive with strong odor,irregular appetite,cool,oily thick,dark dry,perfect,red,average,quick,quickly but inconsistently,sound,pale,pale,kapha
average,slow,slow,all,excessive,always hunger,cool,straight soft,red,perfect,bright,forgets quickly,peaceful,promptly and decisively,sound,pale,dull,kapha
lean,slow,fast,all,excessive,always hunger,oily,oily thick,dark dry,perfect,bright,never forgets,focused,quickly but inconsistently,sound,pale,dull,kapha
difficult to lose,moderate,slow,cold,excessive with strong odor,moderate hunger,cool,straight soft,red,large,red,never forgets,focused,slowly but steadily,sound,dark,pale,kapha
difficult to lose,moderate,slow,cold,excessive with strong odor,moderate hunger,oily,oily thick,dark up red bottom,large,dark,average,peacefull,slowly but steadily,deep,dark,pale,kapha
average,fast,slow,all,excessive with strong odor,moderate hunger,oily,straight soft,red,perfect,bright,average,peacefull,quickly but inconsistently,sound,pale,soft red,kapha
difficult to lose,fast,slow,warm,excessive,irregular appetite,cool,oily thick,red,uneven,bright,average,peaceful,quickly but inconsistently,sound,dark,pale,kapha
lean,slow,slow,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,uneven,red,never forgets,quick,promptly and decisively,deep,pale,soft red,kapha
difficult to lose,moderate,fast,all,mild,always hunger,cool,dry brittle,dark dry,uneven,bright,never forgets,peacefull,quickly but inconsistently,deep,redish,dull,kapha
average,fast,moderate,all,excessive with strong odor,moderate hunger,cool,oily thick,dark up red bottom,perfect,red,never forgets,focused,quickly but inconsistently,light,redish,pale,kapha
difficult to lose,moderate,slow,all,mild,moderate hunger,oily,straight soft,red,perfect,bright,forgets quickly,peaceful,quickly but inconsistently,light,pale,pale,kapha
difficult to lose,slow,fast,all,excessive,moderate hunger,oily,dry brittle,red,perfect,red,average,quick,quickly but inconsistently,sound,pale,dull,kapha
difficult to lose,slow,slow,all,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,perfect,red,never forgets,quick,slowly but steadily,sound,pale,dull,kapha
average,fast,moderate,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark up red bottom,uneven,bright,forgets quickly,peaceful,slowly but steadily,light,pale,soft red,kapha
lean,moderate,slow,warm,excessive,moderate hunger,cool,dry brittle,red,perfect,bright,never forgets,peacefull,slowly but steadily,light,dark,soft red,kapha
lean,slow,fast,cold,excessive,always hunger,oily,dry brittle,dark dry,perfect,bright,never forgets,peaceful,slowly but steadily,deep,redish,dull,kapha
difficult to lose,moderate,slow,all,excessive,moderate hunger,dry,dry brittle,red,perfect,red,average,peaceful,promptly and decisively,deep,redish,pale,kapha
difficult to lose,slow,fast,all,mild,moderate hunger,cool,straight soft,dark up red bottom,uneven,dark,forgets quickly,quick,slowly but steadily,sound,pale,pale,kapha
lean,slow,slow,all,mild,moderate hunger,oily,straight soft,red,perfect,red,never forgets,peacefull,slowly but steadily,deep,dark,dull,kapha
difficult to lose,slow,fast,all,mild,irregular appetite,oily,oily thick,dark up red bottom,large,dark,forgets quickly,quick,slowly but steadily,deep,pale,pale,kapha
difficult to lose,moderate,fast,cold,excessive,always hunger,cool,straight soft,red,large,bright,never forgets,peacefull,promptly and decisively,deep,pale,dull,kapha
difficult to lose,slow,fast,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,large,red,never forgets,focused,slowly but steadily,light,redish,pale,kapha
lean,slow,moderate,cold,excessive,moderate hunger,dry,dry brittle,red,perfect,bright,average,quick,slowly but steadily,light,redish,pale,kapha
difficult to lose,moderate,fast,warm,excessive with strong odor,moderate hunger,dry,oily thick,red,uneven,bright,average,quick,slowly but steadily,light,pale,soft red,kapha
lean,slow,slow,all,excessive,irregular appetite,dry,dry brittle,red,perfect,red,forgets quickly,peacefull,promptly and decisively,deep,redish,dull,kapha
average,fast,moderate,all,mild,moderate hunger,cool,dry brittle,dark up red bottom,perfect,dark,forgets quickly,peacefull,slowly but steadily,light,pale,soft red,kapha
lean,moderate,moderate,warm,excessive with strong odor,moderate hunger,cool,straight soft,red,large,red,never forgets,peacefull,slowly but steadily,deep,pale,dull,kapha
difficult to lose,slow,moderate,warm,excessive with strong odor,always hunger,cool,dry brittle,red,uneven,dark,never forgets,quick,slowly but steadily,sound,redish,pale,kapha
lean,slow,slow,all,excessive with strong odor,irregular appetite,oily,straight soft,red,uneven,dark,average,peaceful,quickly but inconsistently,sound,pale,dull,kapha
lean,slow,fast,cold,excessive with strong odor,always hunger,cool,straight soft,red,uneven,dark,forgets quickly,peacefull,slowly but steadily,light,pale,pale,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,perfect,bright,never forgets,focused,quickly but inconsistently,sound,pale,dull,kapha
difficult to lose,slow,slow,cold,excessive,moderate hunger,dry,straight soft,red,perfect,red,forgets quickly,peacefull,quickly but inconsistently,deep,dark,soft red,kapha
difficult to lose,slow,slow,all,mild,irregular appetite,oily,oily thick,red,perfect,dark,never forgets,focused,slowly but steadily,sound,pale,dull,kapha
average,slow,slow,warm,excessive with strong odor,always hunger,cool,straight soft,red,large,red,never forgets,peaceful,promptly and decisively,light,dark,soft red,kapha
difficult to lose,moderate,slow,cold,excessive,irregular appetite,dry,dry brittle,red,large,bright,average,peacefull,slowly but steadily,deep,dark,pale,kapha
difficult to lose,moderate,moderate,cold,excessive with strong odor,irregular appetite,cool,oily thick,red,large,red,forgets quickly,peaceful,promptly and decisively,deep,pale,soft red,kapha
difficult to lose,slow,fast,warm,mild,moderate hunger,cool,oily thick,dark dry,large,bright,never forgets,focused,quickly but inconsistently,sound,redish,soft red,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,always hunger,oily,oily thick,red,large,dark,forgets quickly,peaceful,slowly but steadily,deep,redish,pale,kapha
difficult to lose,fast,fast,all,excessive,always hunger,oily,oily thick,red,large,dark,never forgets,focused,promptly and decisively,deep,dark,pale,kapha
average,slow,slow,all,excessive with strong odor,always hunger,dry,oily thick,red,uneven,red,average,peaceful,quickly but inconsistently,light,pale,pale,kapha
lean,fast,slow,all,mild,moderate hunger,oily,straight soft,red,large,bright,average,quick,promptly and decisively,deep,redish,pale,kapha
difficult to lose,slow,fast,cold,excessive,irregular appetite,cool,oily thick,red,uneven,dark,never forgets,quick,slowly but steadily,deep,dark,pale,kapha
difficult to lose,slow,moderate,cold,excessive with strong odor,moderate hunger,cool,dry brittle,dark dry,uneven,bright,never forgets,quick,quickly but inconsistently,sound,redish,soft red,kapha
average,slow,fast,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,uneven,bright,forgets quickly,focused,slowly but steadily,light,dark,pale,kapha
difficult to lose,fast,fast,all,excessive,moderate hunger,dry,straight soft,red,perfect,bright,never forgets,quick,promptly and decisively,deep,dark,pale,kapha
difficult to lose,slow,slow,cold,mild,moderate hunger,cool,straight soft,dark up red bottom,uneven,dark,average,peacefull,slowly but steadily,light,redish,dull,kapha
difficult to lose,fast,slow,all,mild,always hunger,oily,oily thick,red,large,bright,forgets quickly,quick,promptly and decisively,light,pale,soft red,kapha
